title,author,year,empirical_data,subsidy_type,vector_type,vector,biotic_abiotic,recipient,subgroups,ecotone,climate_zone,mediterannean,continent,country,latlon,experimental,start,end,initials,,,,,,,,,,,,
Crocodiles and the nutrient metabolism of Amazonian waters,Fittkau,1973,Yes,"Caiman excretion/egestion (N, P, Ca, Mg, Na, K)",Reptile,Caiman (Caiman crocodilus),Biotic,River,Yes,Freshwater - Freshwater,Tropical,No,South America,Amazon River,"-15.5, -71.7",Yes,1967,1971,FL,,,,,,,,,,,,
Migratory Fishes as Material and Process Subsidies in Riverine Ecosystems,Flecker et al.,2010,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Longitudinal and seasonal pattern of insect emergence in alpine streams,Füreder et al.,2005,Yes,Emerging aquatic insects,Insect,Aquatic insects,Biotic,Surrounding land,No,Freshwater - Terrestrial,Tundra,No,Europe,Austria,"47.0, 11.0",Yes,1996,1998,FL,,,,,,,,,,,,
Brown bears selectively kill salmon with higher energy content but only in habitats that facilitate choice,Gende et al.,2004,Yes,Salmon prey,Fish,Pacific salmon,Biotic,Brown bears,No,Aquatic - Terrestrial,Subarctic,No,North America,United States,"59.6, -159",Yes,1995,2001,FL,,,,,,,,,,,,
Potential alteration of cross-ecosystem resource subsidies by an invasive aquatic macroinvertebrate: implications for the terrestrial food web,Gergs et al.,2014,Yes,Emerging aquatic insect prey (affected by invasive amphipod),Insect,Aquatic insects (mostly midges),Biotic,Riparian spiders (Lycosids & Tetragnathids,No,Freshwater - Terrestrial,Oceanic,No,Europe,Germany,"49.0, 8.22",Yes,2010,2012,FL,,,,,,,,,,,,
Juvenile coho salmon (Oncorhynchus kisutch) responses to salmon carcasses and in-stream wood manipulations during winter and spring,Giannico and Hinch,2007,Yes*****,Salmon carcasses,Fish,Chum salmon carcasses,Biotic,Juvenile coho salmon,Yes,Marine - Freshwater,Oceanic,No,North America,Canada,"49.7, -123",Yes,1996,1998,FL,,,,,,,,,,,,
Juvenile coho salmon (Oncorhynchus kisutch) responses to salmon carcasses and in-stream wood manipulations during winter and spring,Giannico and Hinch,2007,Yes*****,In-stream wood,Wood,"Twigs, logs, branches (Red alder and western redcedar)",Biotic,Juvenile coho salmon,,Terrestrial - Freshwater,Oceanic,No,North America,Canada,"49.7, -124",Yes,1996,1998,FL,,,,,,,,,,,,
Effects of Size and Temperature on Metabolic Rate,Gillooly et al.,2001,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Benefiting from a migratory prey: spatio-temporal patterns in allochthonous subsidization of an arctic predator,Giroux et al.,2012,Yes,Migratory geese prey,Bird,Greater snow geese,Biotic,Arctic fox,,Terrestrial - Terrestrial,Arctic,No,North America,Canada,"72.9, -78.10",Yes,1996,2005,FL,,,,,,,,,,,,
Benefiting from a migratory prey: spatio-temporal patterns in allochthonous subsidization of an arctic predator,Giroux et al.,2012,Yes,Lemmings prey,Mammal,Lemmings (Lemmus trimucronatus & Dicrostonyx groenlandicus),Biotic,Arctic fox,Yes,Terrestrial - Terrestrial,Arctic,No,North America,Canada,"72.9, -78.9",Yes,1996,2005,FL,,,,,,,,,,,,
Flux of aquatic insect productivity to land: comparison of lentic and lotic ecosystems,Gratton and Zanden,2009,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Priming effect: bridging the gap between terrestrial and aquatic ecology,Guenet et al.,2010,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Mass invariance of population nitrogen flux by terrestrial mammalian herbivores: an extension of the energetic equivalence rule,Habeck and Meehan,2008,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
"Dietary influences on production, stoichiometry and decomposition of particulate wastes from shredders",Halvorson et al.,2015,Yes*****,"Aquatic shredder egestion/excretion (N, P)",Insect,"Shredders (caddisfly, crane fly larvae) consuming oak/maple litter",Biotic,Aquatic (stream) habitats,No,Freshwater - Freshwater,Done in lab but wild-caught larvae,No,North America,United States,"36.6, -93.1",Yes,2012,2013,FL,,,,,,,,,,,,
Incorporation of marine-derived nutrients from petrel breeding colonies into stream food webs,Harding et al.,2004,Yes,"Westland petrel breeding colony remains (N, C)",Bird,"Westland petrel breeding colonies (feathers, food, chicks, eggs)",Biotic,Aquatic invertebrates (stream),Yes,Marine - Freshwater,Temperate oceanic,No,Oceania,New Zealand,"-42.1, 171",Yes,2001,2003,FL,,,,,,,,,,,,
Incorporation of marine-derived nutrients from petrel breeding colonies into stream food webs,Harding et al.,2004,Yes,"Westland petrel breeding colony remains (N, C)",Bird,"Westland petrel breeding colonies (feathers, food, chicks, eggs)",Biotic,Aquatic mosses (stream),,Marine - Freshwater,Temperate oceanic,No,Oceania,New Zealand,"-42.1, 172",Yes,2001,2003,FL,,,,,,,,,,,,
Incorporation of marine-derived nutrients from petrel breeding colonies into stream food webs,Harding et al.,2004,Yes,"Westland petrel breeding colony remains (N, C)",Bird,"Westland petrel breeding colonies (feathers, food, chicks, eggs)",Biotic,Riparian plants (stream),,Marine - Freshwater,Temperate oceanic,No,Oceania,New Zealand,"-42.1, 173",Yes,2001,2003,FL,,,,,,,,,,,,
Global decline in aggregated migrations of large terrestrial mammals,Harris et al.,2009,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Herbivore physiological response to predation risk and implications for ecosystem nutrient dynamics,Hawlena and Schmitz,2010,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Marine Subsidies in Freshwater: Effects of Salmon Carcasses on Lipid Class and Fatty Acid Composition of Juvenile Coho Salmon,Heintz et al.,2004,Yes,"Salmon carcasses (lipids, fatty acids)",Fish,Pink salmon carcasses,Biotic,Juvenile coho salmon,No,Marine - Freshwater,Artificial streams from unknown stream,No,North America,United States,"56.4, -134.7",Yes,1998,1998,FL,,,,,,,,,,,,
Keystone Interactions: Salmon and Bear in Riparian Forests of Alaska,Helfield and Naiman,2006,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
State of the World’s Fisheries,Hilborn et al.,2003,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Role of brown bears ( Ursus arctos ) in the flow of marine nitrogen into a terrestrial ecosystem,Hilderbrand et al.,1999,Yes,Salmon/bear interactions (N),Fish & mammal,Pacific salmon & brown bear predator-prey interactions,Biotic,Riparian ecosystem,No,Aquatic - Terrestrial,Continental subarctic,No,North America,United States,"60.6, 151.3",Yes,1996,1998,FL,,,,,,,,,,,,
